protein_path,ligand_smiles,vina_score,split_name
LPXD_ECOLI_2_341_0/4ihf_C_rec_4ihf_1f7_lig_tt_min_0_pocket10.pdb,O=C(Nc1ccc(F)cc1)N[C@H](c1ccccc1)c1ccccn1,-4.7,TRAINING
AUD_PHACH_1_900_0/4a7k_A_rec_4a7z_ay9_lig_tt_min_0_pocket10.pdb,C[C@H](C(=O)Nc1nc2ccccc2s1)n1c(N)nnc1SCCc1ccccc1,-7.1,TRAINING
DEOD_ECOLI_2_238_0/1pr0_A_rec_1ov6_dbm_lig_tt_min_0_pocket10.pdb,CN(C)C(=O)CN1CCN(C(=O)CSc2nnc(-c3ccccc3Cl)n2C2CCCC2)CC1,-8.2,TRAINING
HXK4_HUMAN_11_465_0/4ixc_A_rec_4ixc_1jd_lig_tt_min_0_pocket10.pdb,[NH3+]Cc1ccn(Cc2cc(F)cc(Br)c2)c1,-7.9,TRAINING
BGAL_SULSO_1_489_0/1uwu_B_rec_1uwu_gox_lig_tt_min_0_pocket10.pdb,CCCCCCO[C@@H]1CCC[C@@H]([NH3+])C1,-6.3,TRAINING
CBPB1_PIG_192_416_0/2pjb_A_rec_2pj7_235_lig_tt_docked_0_pocket10.pdb,Cc1cc(C)n2c(S[C@H](C)C(=O)c3cc(C)n(-c4ccccc4)c3C)nnc2n1,-7.6,TRAINING
TTBK1_HUMAN_6_314_0/4btk_A_rec_4btk_dtq_lig_tt_docked_1_pocket10.pdb,Cc1ccc(OCCC(=O)NCc2ccc(N3CCOCC3)[nH+]c2)c(C)c1,-7.7,TRAINING
PNPH_HUMAN_1_289_0/2a0x_A_rec_3k8q_22a_lig_tt_min_0_pocket10.pdb,CC(=O)c1cccc(C[N@@H+]2CCc3c([nH]c4ccccc34)[C@H]2c2cccc(C)n2)c1,-9.1,TRAINING
ACAC_YEAST_1477_2229_ACoA_0/1od2_A_rec_1od2_ade_lig_tt_min_0_pocket10.pdb,Nc1cc(Br)ccc1OC[C@H]1CCCO1,-5.2,TRAINING
PPARG_HUMAN_229_505_0/3vsp_A_rec_3qt0_486_lig_tt_docked_0_pocket10.pdb,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,-7.4,TRAINING
MENC_ECOLI_1_320_0/1fhv_A_rec_1r6w_164_lig_tt_docked_11_pocket10.pdb,Cc1noc(C)c1[C@H](C)N1C[C@@H](O)CC1=O,-5.7,TRAINING
CRBN_CHICK_320_432_0/4ci1_B_rec_4ci1_ef2_lig_tt_min_0_pocket10.pdb,CC1=N/C(=C\c2ccc(OC(C)C)cc2)C(=O)N1c1ccc2ccccc2c1,-8.8,TRAINING
G1PDH_METJA_1_335_0/4rfl_A_rec_4rgq_13p_lig_tt_docked_0_pocket10.pdb,CCc1nc(-c2ccc(S(=O)(=O)N3CCC(C(=O)Nc4ccc(F)c(Cl)c4)CC3)cc2)no1,-7.0,TRAINING
